l1,l2,l3,l4,l5,l6,l7,l8,h1,h2,h3,h4,h5,h6,h7,h8,b1,b2,b3,b4,b5,b6,b7,b8,t1,t2,t3,t4,t5,t6,t7,t8,label
0.00560542060221131,0.014110773537486451,0.00896552619291632,0.00596144917635727,0.032851900374491524,0.00015367385877753712,0.014703486478833745,0.015925789229725547,0.0020988143841299965,0.0014512865236105943,0.0026907703557146356,0.0038257835130664332,0.007426968758806158,0.0012860865168550521,0.015191575536081251,0.003704382303180214,0.0015403281518812163,0.002392876213667654,0.0021679549448536304,0.0022500906679771377,0.0019476436975391673,0.003749542289463737,0.0035526020415481826,0.005306231108544674,0.007446494875660965,0.017134130900582974,0.029638842746722228,0.022761725060545246,0.07627673676365769,0.0010752928787844513,0.017312006694373813,0.029484318522684554,1.0
0.012558032302287258,0.017611835829836803,0.02143394135173799,0.015328808049066295,0.032851900374491524,0.0017456070981084688,0.014703486478833745,0.015925789229725547,0.011259056913494658,0.0046888276939335855,0.008031219701980117,0.004897721982045255,0.007426968758806158,0.0013137345063838493,0.015191575536081251,0.013753329335931038,0.0033385433011090333,0.002521568336255493,0.0022064499557993365,0.00288495982668745,0.002452234833436936,0.004779955723719676,0.007904472712301313,0.005329194128959063,0.03896762275880905,0.02856891123724692,0.040999391916987364,0.02297909654123418,0.07627673676365769,0.0036519849897480063,0.05784118757788868,0.029484318522684554,1.0
0.012558032302287258,0.017611835829836803,0.02143394135173799,0.015328808049066295,0.032851900374491524,0.007720708338491207,0.014703486478833745,0.022358737196774392,0.011259056913494658,0.0046888276939335855,0.008031219701980117,0.004897721982045255,0.007968698993831336,0.009818871776889816,0.015248432462798032,0.013753329335931038,0.003357732159292391,0.00426149718129171,0.002240752193313082,0.003915787325521993,0.003973142548761584,0.004845247979300286,0.014899367736887551,0.008794007515278769,0.03896762275880905,0.02856891123724692,0.040999391916987364,0.02297909654123418,0.07627673676365769,0.0075505531739297575,0.05784118757788868,0.06643213706020273,1.0
0.012849163880078996,0.014110773537486451,0.00896552619291632,0.01107661637878729,0.006142044421195944,0.007720708338491207,0.011040481134937018,0.015925789229725547,0.012860847065522622,0.008525102962913478,0.0037158657732904747,0.0038257835130664332,0.007968698993831336,0.00969301013522922,0.015191575536081251,0.006059313675289036,0.004051348814532149,0.004897998173979685,0.0024498353259617958,0.008105548169100162,0.004102601483465009,0.005458792331642659,0.01665184581115255,0.008794007515278769,0.007446494875660965,0.017134130900582974,0.029638842746722228,0.022761725060545246,0.02001038108177136,0.0075505531739297575,0.017312006694373813,0.06643213706020273,1.0
0.025889304283321618,0.017611835829836803,0.00896552619291632,0.01107661637878729,0.006142044421195944,0.007720708338491207,0.011040481134937018,0.015925789229725547,0.021380073148670114,0.008525102962913478,0.0037158657732904747,0.005240109235033404,0.007968698993831336,0.007533025502299871,0.012357429039860496,0.013753329335931038,0.0058566996755332465,0.006759076209825481,0.008912357270691965,0.0042959816261654085,0.00430205706419775,0.006894258687139305,0.02378423204796057,0.012690780251138596,0.023540440894365702,0.02856891123724692,0.029638842746722228,0.022761725060545246,0.02001038108177136,0.0075505531739297575,0.05784118757788868,0.075980169781251,1.0
0.012849163880078996,0.007502462303012425,0.0021060515211984905,0.01107661637878729,0.00503129752422516,0.007720708338491207,0.005892467694841658,0.011458619483349107,0.012860847065522622,0.008525102962913478,0.0037158657732904747,0.0035234281648565957,0.0018766266306618426,0.007533025502299871,0.0056325443298543545,0.006059313675289036,0.0058566996755332465,0.006759076209825481,0.008912357270691965,0.0042959816261654085,0.00430205706419775,0.006894258687139305,0.02378423204796057,0.008794007515278769,0.00728205901486215,0.012786982893359422,0.003463071066554516,0.00881936333445046,0.019031585095329717,0.0075505531739297575,0.009674238649285658,0.075980169781251,1.0
0.0040810606263771785,0.004649963689094906,0.0003213004730321323,0.0010257173561436252,0.001417814664959692,0.007720708338491207,0.0013851136180834185,0.011458619483349107,0.002898824254905297,0.0046335479025529465,0.0016151558094075443,0.0003804468708356756,0.000519520261792197,0.007533025502299871,0.0056325443298543545,0.00027601062461923956,0.0058566996755332465,0.006759076209825481,0.008912357270691965,0.0042959816261654085,0.00430205706419775,0.006894258687139305,0.02378423204796057,0.006085684377097418,0.0034199021633938573,0.0074787929095161505,0.0022514440844063075,0.00228417666433246,0.013976652544656895,0.0075505531739297575,0.0052165913837352446,0.075980169781251,1.0
0.0004906947252658412,0.002210366481557494,0.015306795616456653,0.004255245999167363,0.02630785966245677,0.008281794515334659,0.03580283373670231,0.004708342488220199,0.0010377319371015375,0.0015929464282076315,0.007541185080704945,0.0014711161197007042,0.003735611422387446,0.004186968699555948,0.006902617787797701,0.03291110500438223,0.0006057947445082519,0.00179484975366802,0.0012250130986186847,0.0008608123081928327,0.00269138200430692,0.0032418065179775787,0.012190597585170597,0.005783904152079714,0.005249853255877077,0.011805524892094011,0.008088858820266137,0.017717075646038267,0.046033545761529245,0.01175441501179022,0.028542046936632537,0.03121279540878008,1.0
0.004850911886276623,0.010436574461388688,0.0230064967241381,0.004255245999167363,0.02630785966245677,0.008281794515334659,0.072658039986883,0.06861378260099846,0.0011727458226923697,0.0060746476766729025,0.009935658092212347,0.0014711161197007042,0.0050561964507794275,0.01104800731380734,0.03263151193960571,0.0342207453496505,0.0031216625862657056,0.00321444903749359,0.0033668567381533467,0.0029027549727734954,0.0054637679093560215,0.004205436467931266,0.012190597585170597,0.012092342147392963,0.013410169153710086,0.01880831195294902,0.025770789294958272,0.017717075646038267,0.046033545761529245,0.01175441501179022,0.04406683766323538,0.03121279540878008,1.0
0.011541345497551515,0.02571595039851792,0.0348792924459127,0.005389298585218631,0.032462949949698144,0.024541913906003444,0.072658039986883,0.06861378260099846,0.0014464092922671552,0.009883533051306225,0.013794519091693132,0.0021072439995471347,0.010738867371932637,0.014153503087682593,0.03263151193960571,0.09828357322184261,0.00314328969833375,0.006773516946202549,0.0033668567381533467,0.0029027549727734954,0.0054637679093560215,0.004205436467931266,0.012190597585170597,0.01260840962722018,0.016966392188799778,0.02010007961382794,0.025770789294958272,0.017717075646038267,0.051526495205731764,0.0327180591719836,0.04406683766323538,0.05668770378700495,1.0
